26
0	0	50	40	50	0	30	30	30	40	0	0	0	0	30	30	30	50	20	40	50	50	0	30	0	40
20	15	10	0	20	0	20	18	10	0	0	0	0	0	0	0	0	5	5	0	20	20	0	0	0	5
20	20	30	20	0	10	30	20	30	30	20	10	20	30	20	20	20	0	0	0	10	0	20	20	20	20
10	0	30	30	10	0	0	0	0	0	5	40	0	30	20	0	0	0	0	10	10	10	30	30	40	10
10	0	0	10	0	20	0	0	0	0	30	0	0	0	30	0	40	10	0	0	0	40	100	0	100	20
21	25	34	23	20	24	19	18	19	21	25	28	23	17	20	10	13	36	8	15	16	16	28	25	16	18
15	35	10	40	25	25	10	5	0	0	0	0	0	0	0	0	0	15	10	0	10	5	10	20	10	5
20	5	0	5	0	5	5	5	5	5	5	2	0	0	2	0	0	2	2	0	2	2	5	2	2	2
35	45	15	45	30	22	20	20	18	15	20	15	18	15	15	35	40	33	22	32	20	35	22	18	20	35
0	22	0	0	0	15	0	0	25	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0
10	0	10	0	50	0	0	0	0	0	15	0	0	5	0	0	0	15	0	0	0	0	0	0	0	0
40	30	60	30	70	30	20	0	0	10	0	40	30	40	30	0	0	0	0	30	30	35	30	40	40	30
0	20	0	10	50	10	28	20	18	8	0	10	25	50	10	0	40	0	10	30	10	30	0	16	0	10
10	20	10	35	40	25	20	20	20	10	20	10	10	10	10	10	20	10	20	20	25	25	20	10	20	25
10	18	0	10	0	0	28	20	12	10	5	8	12	0	10	0	10	0	0	25	10	15	20	8	20	10
5	18	5	5	0	5	5	25	24	18	5	5	16	5	20	5	5	5	5	29	21	29	5	5	11	15
0	25	0	35	0	25	30	40	40	25	0	0	0	20	0	0	0	0	0	0	25	0	0	35	0	0
30	10	30	20	5	25	10	15	15	1	1	5	20	20	10	2	25	2	25	10	20	30	10	10	10	10
0	0	30	15	25	10	20	20	5	0	35	20	21	45	10	0	45	30	0	0	18	25	0	20	0	5
30	40	40	40	100	30	20	20	20	100	56	10	10	50	10	20	20	35	5	5	5	10	20	35	46	25
15	23	35	37	46	0	45	28	29	15	0	10	15	30	19	0	0	0	15	10	10	15	0	15	30	0
10	15	20	5	0	22	10	8	6	5	16	7	12	3	8	20	10	19	0	10	8	15	6	12	0	3
35	30	25	25	20	25	25	30	10	10	10	0	5	0	10	15	30	10	20	20	30	30	10	10	10	15
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
